year,month,day,dow,births
1996,5,14,Tuesday,11757
1996,5,15,Wednesday,11619
1996,5,16,Thursday,11637
1996,5,17,Friday,11370
1996,5,18,Saturday,8696
1996,5,19,Sunday,7906
1996,5,20,Monday,11073
1996,5,21,Tuesday,11962
1996,5,22,Wednesday,11733
1996,5,23,Thursday,11511
1996,5,24,Friday,11835
1996,5,25,Saturday,8666
1996,5,26,Sunday,7746
1996,5,27,Monday,8034
1996,5,28,Tuesday,11151
1996,5,29,Wednesday,12119
1996,5,30,Thursday,11964
1996,5,31,Friday,11853
1996,6,1,Saturday,8866
1996,6,2,Sunday,7962
1996,6,3,Monday,10916
1996,6,4,Tuesday,11783
1996,6,5,Wednesday,11695
1996,6,6,Thursday,11849
1996,6,7,Friday,11750
1996,6,8,Saturday,8739
1996,6,9,Sunday,8013
1996,6,10,Monday,10927
1996,6,11,Tuesday,11978
1996,6,12,Wednesday,11710
1996,6,13,Thursday,11521
1996,6,14,Friday,11644
1996,6,15,Saturday,8783
1996,6,16,Sunday,8004
1996,6,17,Monday,10981
1996,6,18,Tuesday,12105
1996,6,19,Wednesday,11779
1996,6,20,Thursday,12052
1996,6,21,Friday,11759
1996,6,22,Saturday,8946
1996,6,23,Sunday,8128
1996,6,24,Monday,11080
1996,6,25,Tuesday,12150
1996,6,26,Wednesday,12154
1996,6,27,Thursday,11957
1996,6,28,Friday,12057
1996,6,29,Saturday,8956
1996,6,30,Sunday,8281
1996,7,1,Monday,11779
1996,7,2,Tuesday,13167
1996,7,3,Wednesday,12563
1996,7,4,Thursday,9358
1996,7,5,Friday,10823
1996,7,6,Saturday,9044
1996,7,7,Sunday,8248
1996,7,8,Monday,11385
1996,7,9,Tuesday,12623
1996,7,10,Wednesday,12362
1996,7,11,Thursday,12256
1996,7,12,Friday,11976
1996,7,13,Saturday,9152
1996,7,14,Sunday,8358
1996,7,15,Monday,11421
1996,7,16,Tuesday,12619
